action,timestamp,x_axis,y_axis,z_axis
notfall,15673638381480015,43,36.885245901639344,4.033
notfall,15673638381710016,43,36.885245901639344,0.0
notfall,15673638381930017,43,36.885245901639344,0.0
notfall,15673638382150018,43,36.885245901639344,0.0
notfall,15673638382380019,43,36.885245901639344,0.0
notfall,15673638382620020,43,36.885245901639344,0.0
notfall,15673638382840021,43,36.885245901639344,0.0
notfall,15673638383070022,43,36.885245901639344,0.0
notfall,15673638383350023,43,36.885245901639344,0.0
notfall,15673638383570024,43,36.885245901639344,0.0
notfall,15673638383790025,43,36.885245901639344,0.0
notfall,15673638384030026,47,39.473684210526315,12.096
notfall,15673638384250027,47,39.473684210526315,0.0
notfall,15673638384460028,47,39.473684210526315,0.0
notfall,15673638384690029,47,39.473684210526315,0.0
notfall,15673638384910030,25,6.0975609756097615,-88.79199999999999
notfall,15673638385130031,23,5.952380952380953,-8.68
notfall,15673638385370032,23,5.952380952380953,0.0
notfall,15673638385590033,23,5.952380952380953,0.0
notfall,15673638385800034,23,5.952380952380953,0.0
notfall,15673638386020035,7,-12.385321100917428,-87.392
notfall,15673638386240036,6,-9.633027522935777,-6.073
notfall,15673638386460037,6,-11.157024793388432,0.0
notfall,15673638386700038,5,-13.492063492063494,-8.241
notfall,15673638386910039,4,-10.550458715596328,-6.071
notfall,15673638387130040,3,-9.999999999999998,-5.901
notfall,15673638387350041,2,-13.636363636363635,-7.854
notfall,15673638387560042,2,-7.6923076923076925,0.0
notfall,15673638387790043,1,-13.247863247863245,-5.879
notfall,15673638388020044,0,-15.833333333333332,-5.804
notfall,15673638388240045,-1,-17.716535433070867,-5.942
notfall,15673638388460046,-1,-16.94214876033058,0.0
notfall,15673638388680047,-1,-18.032786885245898,0.0
notfall,15673638388900048,-2,-22.180451127819552,-6.652
notfall,15673638389140049,-1,-24.496644295302012,7.219
notfall,15673638389380050,30,-27.697841726618705,5.753
notfall,15673638389590051,33,-24.264705882352942,16.476
notfall,15673638389810052,37,-19.23076923076923,24.308
notfall,15673638390030053,41,-14.800000000000002,24.34
notfall,15673638390240054,41,-12.601626016260164,0.0
notfall,15673638390460055,41,-13.934426229508196,0.0
notfall,15673638390700056,48,-11.946902654867259,41.867
notfall,15673638390980057,1,-23.154362416107382,0.0
notfall,15673638391200058,1,-24.149659863945576,0.0
notfall,15673638391420059,41,-13.461538461538463,6.145
notfall,15673638391640060,49,-12.244897959183676,47.144
notfall,15673638391860061,1,-20.344827586206897,0.0
notfall,15673638392120062,0,-20.77922077922078,-9.041
notfall,15673638392340063,0,-19.67741935483871,0.0
notfall,15673638392550064,-1,-19.374999999999996,-8.727
notfall,15673638392770065,-1,-19.753086419753085,0.0
notfall,15673638393000066,-1,-20.18633540372671,0.0
notfall,15673638393220067,-1,-21.612903225806452,0.0
notfall,15673638393470068,-1,-21.62162162162162,0.0
notfall,15673638393680069,-1,-16.206896551724135,0.0
notfall,15673638393900070,-1,-27.464788732394364,0.0
notfall,15673638394120071,-1,-14.13793103448276,0.0
notfall,15673638394350072,-1,-14.335664335664333,0.0
notfall,15673638394560073,0,-24.100719424460433,7.204
notfall,15673638394800074,0,-26.33587786259542,0.0
notfall,15673638395020075,0,-27.099236641221374,0.0
notfall,15673638395240076,-1,-27.27272727272727,-5.717
notfall,15673638395460077,-2,-28.57142857142857,-4.807
notfall,15673638395680078,-3,-24.814814814814817,-6.383
notfall,15673638395890079,-4,-29.831932773109244,-4.372
notfall,15673638396140080,-5,-26.61290322580645,-5.107
notfall,15673638396360081,-6,-31.3953488372093,-4.641
notfall,15673638396570082,-6,-32.30769230769231,0.0
notfall,15673638396790083,-6,-25.838926174496645,0.0
notfall,15673638397010084,-7,-29.054054054054056,-5.911
notfall,15673638397220085,-7,-25.34246575342466,0.0
notfall,15673638397470086,-7,-25.34246575342466,0.0
notfall,15673638397680087,-7,-24.482758620689655,0.0
notfall,15673638397910088,-6,-9.55056179775281,5.142
notfall,15673638398120089,-6,-21.72413793103448,0.0
notfall,15673638398350090,-5,-23.381294964028775,7.934
notfall,15673638398560091,-5,-22.340425531914892,0.0
notfall,15673638398810092,-4,-21.73913043478261,8.682
notfall,15673638399030093,-4,-18.217054263565892,0.0
notfall,15673638399240094,-4,-16.40625,0.0
notfall,15673638399460095,19,-14.356435643564359,5.267
notfall,15673638399680096,-5,-12.601626016260164,0.0
notfall,15673638399910097,-6,-9.574468085106385,-8.889
notfall,15673638400140098,-6,-6.5891472868217065,0.0
notfall,15673638400370099,-6,-6.349206349206349,0.0
notfall,15673638400590100,-7,-10.447761194029853,-8.014
notfall,15673638400800101,-7,-14.492753623188403,0.0
notfall,15673638401030102,-7,-19.17808219178082,0.0
notfall,15673638401320103,-7,-21.91780821917808,0.0
notfall,15673638401570104,-7,-26.027397260273975,0.0
notfall,15673638401790105,-7,-26.027397260273975,0.0
notfall,15673638402010106,-7,-26.027397260273975,0.0
notfall,15673638402220107,-6,2.238805970149249,2.886
notfall,15673638402450108,-6,2.238805970149249,0.0
notfall,15673638402670109,-6,2.238805970149249,0.0
notfall,15673638402900110,-6,2.238805970149249,0.0
notfall,15673638403120111,-6,2.238805970149249,0.0
notfall,15673638403360112,-6,2.238805970149249,0.0
notfall,15673638403580113,-6,2.238805970149249,0.0
notfall,15673638403800114,-6,2.238805970149249,0.0
notfall,15673638404030115,-6,2.238805970149249,0.0
notfall,15673638404270116,-6,2.238805970149249,0.0
notfall,15673638404480117,-6,2.238805970149249,0.0
notfall,15673638404700118,-6,2.238805970149249,0.0
notfall,15673638404910119,-6,2.238805970149249,0.0
notfall,15673638405130120,-6,2.238805970149249,0.0
notfall,15673638405350121,-6,2.238805970149249,0.0
notfall,15673638405580122,-6,2.238805970149249,0.0
notfall,15673638405800123,-6,2.238805970149249,0.0
notfall,15673638406010124,-6,2.238805970149249,0.0
notfall,15673638406230125,-6,2.238805970149249,0.0
notfall,15673638406450126,-6,2.238805970149249,0.0
notfall,15673638406660127,-6,2.238805970149249,0.0
notfall,15673638406900128,-6,2.238805970149249,0.0
notfall,15673638407110129,-6,2.238805970149249,0.0
notfall,15673638407320130,-6,2.238805970149249,0.0
notfall,15673638407540131,-6,2.238805970149249,0.0
notfall,15673638407760132,-6,2.238805970149249,0.0
notfall,15673638407970133,-6,2.238805970149249,0.0
notfall,15673638408220134,-5,-9.340659340659341,4.678
notfall,15673638408430135,-5,-9.340659340659341,0.0
notfall,15673638408650136,-3,-4.430379746835444,8.04
notfall,15673638408860137,-3,-4.430379746835444,0.0
notfall,15673638409080138,-3,-4.430379746835444,0.0
notfall,15673638409300139,-3,-4.430379746835444,0.0
notfall,15673638409540140,-3,-4.430379746835444,0.0
notfall,15673638409750141,-3,-4.430379746835444,0.0
notfall,15673638409960142,-3,-4.430379746835444,0.0
notfall,15673638410180143,-3,-4.430379746835444,0.0
notfall,15673638410400144,-3,-4.430379746835444,0.0
notfall,15673638410610145,-3,-4.430379746835444,0.0
notfall,15673638410850146,-3,-4.430379746835444,0.0
notfall,15673638411060147,-3,-4.430379746835444,0.0
notfall,15673638411310148,-3,-4.430379746835444,0.0
notfall,15673638411550149,-3,-4.430379746835444,0.0
notfall,15673638411780150,-3,-4.430379746835444,0.0
notfall,15673638412000151,-3,-4.430379746835444,0.0
notfall,15673638412240152,-3,-4.430379746835444,0.0
notfall,15673638412460153,-3,-4.430379746835444,0.0
notfall,15673638412670154,-3,-4.430379746835444,0.0
notfall,15673638412890155,-3,-4.430379746835444,0.0
notfall,15673638413110156,-3,-4.430379746835444,0.0
notfall,15673638413330157,-3,-4.430379746835444,0.0
notfall,15673638413580158,-3,-4.430379746835444,0.0
notfall,15673638413800159,-3,-4.430379746835444,0.0
notfall,15673638414010160,-3,-4.430379746835444,0.0
notfall,15673638414230161,-3,-4.430379746835444,0.0
notfall,15673638414450162,-3,-4.430379746835444,0.0
notfall,15673638414670163,-3,-4.430379746835444,0.0
notfall,15673638414910164,-3,-4.430379746835444,0.0
notfall,15673638415120165,-3,-4.430379746835444,0.0
notfall,15673638415340166,-3,-4.430379746835444,0.0
notfall,15673638415550167,-3,-4.430379746835444,0.0
notfall,15673638415770168,-3,-4.430379746835444,0.0
notfall,15673638415990169,-3,-4.430379746835444,0.0
notfall,15673638416240170,-3,-4.430379746835444,0.0
notfall,15673638416450171,-3,-4.430379746835444,0.0
notfall,15673638416670172,-3,-4.430379746835444,0.0
notfall,15673638416890173,-3,-4.430379746835444,0.0
notfall,15673638417100174,-3,-4.430379746835444,0.0
notfall,15673638417320175,-3,-4.430379746835444,0.0
notfall,15673638417560176,-3,-4.430379746835444,0.0
notfall,15673638417780177,-3,-4.430379746835444,0.0
notfall,15673638417990178,-3,-4.430379746835444,0.0
notfall,15673638418210179,-3,-4.430379746835444,0.0
notfall,15673638418440180,-3,-4.430379746835444,0.0
notfall,15673638418660181,-3,-4.430379746835444,0.0
notfall,15673638418890182,-3,-4.430379746835444,0.0
notfall,15673638419110183,-3,-4.430379746835444,0.0
notfall,15673638419320184,-3,-4.430379746835444,0.0
notfall,15673638419540185,-3,-4.430379746835444,0.0
notfall,15673638419760186,-3,-4.430379746835444,0.0
notfall,15673638419990187,-3,-4.430379746835444,0.0
notfall,15673638420240188,-3,-4.430379746835444,0.0
notfall,15673638420460189,-3,-4.430379746835444,0.0
notfall,15673638420670190,-3,-4.430379746835444,0.0
notfall,15673638420890191,-3,-4.430379746835444,0.0
notfall,15673638421110192,-3,-4.430379746835444,0.0
notfall,15673638421330193,-3,-4.430379746835444,0.0
notfall,15673638421640194,-3,-4.430379746835444,0.0
notfall,15673638421860195,-3,-4.430379746835444,0.0
notfall,15673638422080196,-3,-4.430379746835444,0.0
notfall,15673638422300197,-3,-4.430379746835444,0.0
notfall,15673638422520198,-3,-4.430379746835444,0.0
notfall,15673638422740199,-3,-4.430379746835444,0.0
notfall,15673638422980200,-3,-4.430379746835444,0.0
notfall,15673638423190201,-3,-4.430379746835444,0.0
notfall,15673638423410202,-3,-4.430379746835444,0.0
notfall,15673638423630203,-3,-4.430379746835444,0.0
notfall,15673638423850204,-3,-4.430379746835444,0.0
notfall,15673638424070205,-3,-4.430379746835444,0.0
notfall,15673638424310206,-3,-4.430379746835444,0.0
notfall,15673638424530207,-3,-4.430379746835444,0.0
notfall,15673638424740208,-3,-4.430379746835444,0.0
notfall,15673638424960209,-3,-4.430379746835444,0.0
notfall,15673638425180210,-3,-4.430379746835444,0.0
notfall,15673638425400211,-3,-4.430379746835444,0.0
notfall,15673638425640212,-3,-4.430379746835444,0.0
notfall,15673638425850213,-3,-4.430379746835444,0.0
notfall,15673638426070214,-3,-4.430379746835444,0.0
notfall,15673638426290215,-3,-4.430379746835444,0.0
